original_city,lon,lat
Sankt Petersburg,30.316229,59.938732
Venezia,12.3345898,45.4371908
Dresden,13.7381437,51.0493286
Hamburg,10.000654,53.550341
Padova,11.8734455,45.4077172
Napoli,14.2487679,40.8358846
Roma,12.4829321,41.8933203
Bologna,11.3426327,44.4938203
Torino,7.6824892,45.0677551
Weimar,11.3296637,50.9810486
Bonn,7.10066,50.735851
Paris,2.3514616,48.8566969
Braunschweig,10.5236066,52.2646577
Wien,16.3725042,48.2083537
Genova,8.9338624,44.40726
Breslau,17.0326689,51.1089776
Donaueschingen,8.4959257,47.9534194
Osnabrück,8.047635,52.2719595
Dessau,12.234789,51.839882
Praha,14.4212535,50.0874654
Amsterdam,4.8936041,52.3727598
Verona,10.9924122,45.4384958
Valletta,14.5136759,35.8989818
Milano,9.1896346,45.4641943
Ravenna,12.2017617,44.4161414
Frankfurt am Main,8.6820917,50.1106444
Leipzig,12.3747329,51.3406321
Pillnitz,13.8713801,51.0126628
Detmold,8.8791526,51.936284
Puschkin,30.415731,59.722256
Firenze,11.2555757,43.7698712
Graz,15.4382786,47.0708678
Castelnuovo,11.4932817,46.0528587
Salzburg,13.0464806,47.7981346
Regensburg,12.0974869,49.0195333
Vicenza,11.5478825,45.5488306
Hannover,9.7385532,52.3744779
Bad Lauchstädt,11.8725818,51.3892615
Karlsruhe,8.4034195,49.0068705
London,-0.1276474,51.5073219
Udine,13.2358377,46.0634632
Potsdam,13.0591397,52.4009309
Faenza,11.8832055,44.2855555
